name,rating,votes,location,cuisines,cost(2),cost category
Tripura Express,3,156,Old Airport Road,"Pizza, Beverages",450,Low
BOX8- Desi Meals,4,314,Indiranagar,"North Indian, Mughlai, Fast Food",500,Medium
Sree Spicy Hub,4,224,Jeevan Bhima Nagar,"Andhra, Biryani, South Indian",600,Medium
Kerala Pavilion,4,302,Domlur,"Kerala, South Indian, Seafood, Biryani",300,Low
Burger King,4,1391,Indiranagar,"Burger, Fast Food, Beverages",600,Medium
New Taj,3,110,Ulsoor,"North Indian, Chinese",300,Low
Chandni Chowk 2 Bangalore,4,241,Jeevan Bhima Nagar,"North Indian, Rolls",400,Low
Shahi Family Restaurant,4,66,Ulsoor,"North Indian, Chinese, South Indian",350,Low
Gurukrupa Paratha House,4,639,Old Airport Road,"North Indian, Chinese",400,Low
FreshMenu,4,1082,Indiranagar,"Asian, Continental, Mediterranean, Salad, American, Biryani",450,Low
Dal Roti Sabji,4,81,Indiranagar,North Indian,150,Low
Red Kitchen,3,146,Jeevan Bhima Nagar,"North Indian, South Indian, Chinese",200,Low
Food Town,3,5,Indiranagar,Chinese,150,Low
Fresh Aahar,4,37,Indiranagar,"Biryani, Mangalorean, Kerala",400,Low
Roti Shotti,4,61,Jeevan Bhima Nagar,North Indian,400,Low
Chickpet Donne Biryani House,4,44,Commercial Street,Biryani,250,Low
Punjabi Dhaba,3,351,Ejipura,"North Indian, Chinese",350,Low
Sagar Deluxe,3,148,Jeevan Bhima Nagar,"South Indian, North Indian, Chinese",350,Low
XO Belgian Waffle,4,78,Indiranagar,"Desserts, Beverages",400,Low
Hotel Dil Coorg,4,78,Ulsoor,"North Indian, South Indian",300,Low
Bharpur Aahar,4,418,Jeevan Bhima Nagar,"North Indian, Chinese",200,Low
Corner House Ice Cream,5,2139,Indiranagar,"Ice Cream, Desserts",400,Low
New Krishna Sagar,3,26,Indiranagar,"South Indian, North Indian, Chinese",300,Low
Behrouz Biryani,4,85,Old Airport Road,Biryani,650,Medium
Leon Grill,4,1327,Jeevan Bhima Nagar,"Burger, Turkish, Arabian, Fast Food, Salad, Healthy Food, Desserts",500,Medium
M.M.A Kababs Rolls & Biryani Center,3,67,Old Madras Road,"North Indian, Chinese, Kebab",400,Low
Chowpatty,4,924,Indiranagar,"North Indian, Fast Food, Street Food",300,Low
Rajdhani Thali Restaurant,4,1129,Indiranagar,North Indian,1000,Medium
Motis Kitchen,4,551,Thippasandra,"South Indian, Kerala, Biryani",350,Low
Chetty's Coffee,4,43,Indiranagar,South Indian,150,Low
Sandhya Veg,4,54,Brigade Road,"South Indian, Chinese",150,Low
Indian Chicken Biryani Point,3,9,Richmond Road,"Biryani, South Indian",300,Low
Kanteen 038,4,50,Indiranagar,"Tea, Beverages, Fast Food",200,Low
Kunda Biryani,4,189,CV Raman Nagar,"Hyderabadi, Biryani, North Indian",800,Medium
Potful,4,1122,Domlur,"Biryani, Kebab, Rolls, Mughlai",650,Medium
Dindigul Thalappakatti,4,289,Indiranagar,"Biryani, Chinese, North Indian, South Indian",800,Medium
Donne Biriyani Mane,4,140,Indiranagar,"Biryani, Kebab",400,Low
Paradise,4,3238,Indiranagar,"Biryani, North Indian, Kebab",800,Medium
New Punjabi Hotel,3,393,Old Airport Road,"North Indian, Chinese",400,Low
Beijing Bites,3,282,Jeevan Bhima Nagar,"Chinese, Thai",850,Medium
Green Pepper,4,259,Jeevan Bhima Nagar,"Seafood, South Indian, Chinese, Kerala",600,Medium
Tiffun,4,83,CV Raman Nagar,North Indian,300,Low
Borah's Kitchen,3,12,BTM,"North Indian, Chinese",250,Low
Papacream,4,17,JP Nagar,"Desserts, Ice Cream",350,Low
Eat Well,3,22,JP Nagar,"North Indian, Chinese",400,Low
Punjabi Raswada,4,432,Jayanagar,North Indian,800,Medium
The Yellow Chilli,4,584,Jayanagar,"North Indian, Mughlai, Biryani",1200,High
Sihi Chocolaterie,4,26,Jayanagar,Desserts,300,Low
Gundu Pulav,3,4,Jayanagar,Biryani,400,Low
