name,rating,votes,location,cuisines,cost(2),cost category
Jalsa,4,775,Banashankari,"North Indian, Mughlai, Chinese",800,Medium
Spice Elephant,4,787,Banashankari,"Chinese, North Indian, Thai",800,Medium
San Churro Cafe,4,918,Banashankari,"Cafe, Mexican, Italian",800,Medium
Addhuri Udupi Bhojana,4,88,Banashankari,"South Indian, North Indian",300,Low
Grand Village,4,166,Basavanagudi,"North Indian, Rajasthani",600,Medium
Timepass Dinner,4,286,Basavanagudi,North Indian,600,Medium
Rosewood International Hotel - Bar & Restaurant,4,8,Mysore Road,"North Indian, South Indian, Andhra, Chinese",800,Medium
Onesta,5,2556,Banashankari,"Pizza, Cafe, Italian",600,Medium
Penthouse Cafe,4,324,Banashankari,"Cafe, Italian, Continental",700,Medium
Smacznego,4,504,Banashankari,"Cafe, Mexican, Italian, Momos, Beverages",550,Medium
Cafe Shuffle,4,150,Banashankari,"Cafe, Italian, Continental",600,Medium
The Coffee Shack,4,164,Banashankari,"Cafe, Chinese, Continental, Italian",500,Medium
Caf-Eleven,4,424,Banashankari,"Cafe, Continental",450,Low
Cafe Vivacity,4,90,Banashankari,Cafe,650,Medium
Catch-up-ino,4,133,Banashankari,"Cafe, Fast Food, Continental, Chinese, Momos",800,Medium
Kirthi's Biryani,4,144,Banashankari,"Chinese, Cafe, Italian",700,Medium
T3H Cafe,4,93,Banashankari,"Cafe, Italian, American",300,Low
360 Atoms Restaurant And Cafe,3,13,Banashankari,"Cafe, Chinese, Continental, Italian",400,Low
The Vintage Cafe,3,62,Banashankari,"Cafe, French, North Indian",400,Low
Woodee Pizza,4,180,Banashankari,"Cafe, Pizza, Fast Food, Beverages",500,Medium
Cafe Coffee Day,4,28,Banashankari,"Cafe, Fast Food",900,Medium
My Tea House,4,62,Banashankari,"Italian, Fast Food, Cafe, European",600,Medium
Hide Out Cafe,4,31,Banashankari,Cafe,300,Low
CAFE NOVA,3,11,Banashankari,"Cafe, Bakery",600,Medium
Coffee Tindi,4,75,Banashankari,"Cafe, South Indian",200,Low
Sea Green Cafe,3,4,Banashankari,"Cafe, Fast Food, Beverages",500,Medium
Cuppa,3,23,Banashankari,"Cafe, Fast Food",550,Medium
Srinathji's Cafe,4,148,Basavanagudi,"North Indian, Cafe, Chinese, Fast Food",550,Medium
Redberrys,4,219,Basavanagudi,"Cafe, Italian",600,Medium
Foodiction,3,506,Banashankari,"North Indian, Fast Food, Chinese, Burger",500,Medium
Sweet Truth,4,35,Banashankari,"Bakery, Desserts",500,Medium
Ovenstory Pizza,4,172,Banashankari,Pizza,750,Medium
Faasos,4,415,Banashankari,"North Indian, Biryani, Fast Food",500,Medium
Behrouz Biryani,4,230,Banashankari,Biryani,650,Medium
Fast And Fresh,3,91,Banashankari,"North Indian, Chinese, Fast Food",400,Low
Szechuan Dragon,4,1647,Banashankari,"Chinese, Thai, Momos",600,Medium
Empire Restaurant,4,4884,Jayanagar,"North Indian, Mughlai, South Indian, Chinese",750,Medium
Maruthi Davangere Benne Dosa,4,17,Banashankari,South Indian,150,Low
Chaatimes,4,133,Basavanagudi,"Street Food, Fast Food",200,Low
Havyaka Mess,4,28,Banashankari,South Indian,300,Low
McDonald's,4,286,Banashankari,"Burger, Fast Food",500,Medium
Domino's Pizza,4,540,Banashankari,"Pizza, Fast Food",800,Medium
Hotboxit,4,36,Banashankari,"North Indian, Continental, Italian",400,Low
Kitchen Garden,4,244,Kumaraswamy Layout,"North Indian, Chinese",300,Low
Recipe,4,804,Kumaraswamy Layout,"North Indian, Chinese, Biryani, Rolls",450,Low
Beijing Bites,4,679,Rajarajeshwari Nagar,"Chinese, Thai",850,Medium
Tasty Bytes,3,245,Kumaraswamy Layout,"North Indian, Chinese, Momos, Rolls",300,Low
Petoo,4,21,Banashankari,North Indian,450,Low
Shree Cool Point,4,28,Vijay Nagar,"Fast Food, Street Food, Beverages",150,Low
Corner House Ice Cream,4,345,Banashankari,"Ice Cream, Desserts",400,Low
Biryanis And More,4,618,Jayanagar,"Biryani, North Indian, Chinese, Andhra, South Indian",750,Medium
Roving Feast,4,1047,Banashankari,"Italian, Continental, Fast Food, Chinese, Momos",450,Low
FreshMenu,4,627,Banashankari,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,Low
Banashankari Donne Biriyani,4,104,Banashankari,"Biryani, Fast Food",300,Low
Wamama,4,354,Banashankari,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800,Medium
Five Star Chicken,4,55,Banashankari,"Fast Food, Burger",200,Low
XO Belgian Waffle,4,17,Banashankari,"Desserts, Beverages",400,Low
Peppy Peppers,4,244,Banashankari,"Italian, North Indian, Mexican",800,Medium
Goa 0 Km,4,163,Kumaraswamy Layout,"Goan, Seafood, North Indian, Chinese, Biryani",800,Medium
Chinese Kitchen,4,58,Basavanagudi,Chinese,150,Low
1947,4,808,Banashankari,"North Indian, Chinese",850,Medium
Cake of the Day,4,78,Banashankari,Bakery,150,Low
Kabab Magic,4,1720,Basavanagudi,"North Indian, Kebab, Chinese, Fast Food",400,Low
Namma Brahmin's Idli,4,34,Jayanagar,South Indian,100,Low
Gustoes Beer House,4,868,Banashankari,"Continental, Italian, Mexican, North Indian, Chinese, Steak",1200,High
Sugar Rush,4,39,Banashankari,"Bakery, Desserts",300,Low
Burger King,3,71,Basavanagudi,"Burger, Fast Food, Beverages",600,Medium
The Good Bowl,4,6,Banashankari,"Italian, North Indian, Biryani",500,Medium
The Biryani Cafe,4,520,Banashankari,"Biryani, Chinese, Kebab",300,Low
LSD Cafe,3,84,Banashankari,"Chinese, Continental, Italian, North Indian",700,Medium
Rolls On Wheels,4,299,Banashankari,"Fast Food, Rolls, Momos",300,Low
Sri Guru Kottureshwara Davangere Benne Dosa,4,558,Basavanagudi,South Indian,150,Low
Devanna Dum Biriyani Centre,4,28,Banashankari,"Biryani, South Indian",300,Low
Kolbeh,4,22,Banashankari,Fast Food,500,Medium
Upahar Sagar,4,39,Banashankari,"South Indian, Chinese, North Indian",350,Low
Kadalu Sea Food Restaurant,4,153,Vijay Nagar,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500,Medium
Frozen Bottle,4,146,Banashankari,"Beverages, Desserts, Ice Cream",400,Low
Parimala Sweets,4,14,Banashankari,"Mithai, Street Food",200,Low
Vaishali Deluxe,4,42,Banashankari,"North Indian, Chinese",700,Medium
The Big O Bakes,4,66,Banashankari,"Bakery, Desserts",300,Low
Meghana Foods,4,4401,Jayanagar,"Biryani, North Indian, Chinese",600,Medium
Krishna Sagar,4,31,Banashankari,North Indian,200,Low
Dessert Rose,4,7,Banashankari,Desserts,500,Medium
Chickpet Donne Biryani House,4,21,Banashankari,Biryani,250,Low
Thanco's Natural Ice Creams,3,9,Banashankari,Ice Cream,300,Low
Nandhini Deluxe,3,283,Banashankari,North Indian,600,Medium
Vi Ra's Bar and Restaurant,3,62,Banashankari,"South Indian, North Indian, Chinese",800,Medium
Kaggis,4,64,Banashankari,"Fast Food, Bakery",250,Low
Ayda Persian Kitchen,4,39,Banashankari,"North Indian, Iranian",950,Medium
Chatar Patar,4,65,Banashankari,"Fast Food, Street Food",300,Low
Polar Bear,4,71,Basavanagudi,"Ice Cream, Desserts, Beverages, Sandwich",400,Low
Kidambi's Kitchen,4,52,Banashankari,South Indian,300,Low
Mane Thindi,4,130,Banashankari,South Indian,200,Low
Kotian Karavali Restaurant,4,10,Banashankari,"South Indian, Biryani",300,Low
Floured-Baked With Love,4,45,Banashankari,Bakery,400,Low
Cakes & Slices,4,13,Banashankari,"Bakery, Desserts",300,Low
Spice 9,3,8,Banashankari,"Biryani, North Indian, Chinese, Fast Food",300,Low
Naveen Kabab & Biriyani Mane,3,9,Banashankari,Biryani,300,Low
Katriguppe Donne Biryani,3,4,Banashankari,North Indian,300,Low
Atithi Point Ande Ka Funda,3,29,Banashankari,North Indian,150,Low
Just Bake,3,8,Banashankari,"Bakery, Desserts",400,Low
K27 - The Pub,3,30,Banashankari,"Chinese, North Indian",1000,Medium
Bengaluru Coffee House,4,201,Banashankari,"South Indian, North Indian, Chinese, Street Food",300,Low
New Mangalore Lunch Home,3,7,Banashankari,"Mangalorean, South Indian, North Indian",200,Low
Coffee Bytes,3,6,Banashankari,"Fast Food, South Indian",100,Low
Parjanya Chat Zone,3,17,Banashankari,"Street Food, Fast Food",200,Low
Kwality Wall's Swirl's Happiness Station,3,25,Banashankari,"Ice Cream, Desserts",200,Low
Ruchi Maayaka,3,8,Banashankari,South Indian,100,Low
Anna Kuteera,4,771,Banashankari,"South Indian, North Indian, Chinese",450,Low
Darbar,3,98,Banashankari,"North Indian, Chinese",800,Medium
Vijayalakshmi,4,47,Basavanagudi,South Indian,200,Low
Sri Udupi Food Hub,4,175,Jayanagar,"South Indian, North Indian, Chinese, Beverages",500,Medium
Udupi Upahar,4,58,Banashankari,"South Indian, Chinese, North Indian, Juices",300,Low
House Of Kebabs,4,540,Basavanagudi,"North Indian, Kebab, Biryani, Chinese",650,Medium
Roll N Rock,4,124,Kumaraswamy Layout,"Chinese, North Indian, Mughlai, Rolls",400,Low
BOX8- Desi Meals,4,340,Banashankari,"North Indian, Mughlai, Fast Food",500,Medium
KFC,4,505,Banashankari,"Burger, Fast Food",450,Low
Roll Over,4,438,Jayanagar,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500,Medium
Imperial Restaurant,4,264,Mysore Road,"North Indian, Chinese, Biryani, Beverages",750,Medium
Lassi Shop,4,169,Kumaraswamy Layout,"Beverages, Juices, Ice Cream",150,Low
The Fortuna,3,67,Kumaraswamy Layout,"North Indian, Chinese",250,Low
Wahab,4,97,Jayanagar,"North Indian, Mughlai, Chinese",350,Low
Al Diwan Biryanis And More,3,12,Basavanagudi,Biryani,300,Low
New Gowda's Fried Chicken,3,12,Banashankari,Biryani,300,Low
Canton,4,195,Jayanagar,"Chinese, Seafood, Biryani",800,Medium
Diabetics Dezire Sugarless Sweets and Bakes,3,13,Basavanagudi,"Desserts, Mithai",300,Low
The Blue Wagon - Kitchen,5,228,Jayanagar,"Cafe, Beverages",400,Low
HOT COFFEE,4,70,Basavanagudi,"South Indian, Chinese",150,Low
Patio 805,4,364,Jayanagar,"Thai, Vietnamese, Asian, Chinese",1200,High
Lassi Corner,4,107,Basavanagudi,"Beverages, Ice Cream",150,Low
Sagar Deluxe,3,167,Kumaraswamy Layout,"South Indian, North Indian, Chinese, Juices",300,Low
Kanti Sweets,4,115,Banashankari,"Mithai, Street Food",400,Low
Vegetalia,4,27,Banashankari,"Italian, Pizza",400,Low
Aramane Donne Biryani,4,57,Banashankari,Biryani,200,Low
Ande Ka Funda,4,120,Banashankari,"North Indian, Fast Food, Rolls",250,Low
Cake Ghar,4,15,Basavanagudi,Bakery,400,Low
Energy Addaa,4,64,Basavanagudi,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500,Medium
Bhattara Bhojana,4,66,Banashankari,South Indian,150,Low
Tandoori Knight,3,290,Banashankari,"North Indian, Chinese, Biryani, Kebab",450,Low
Dev Sagar - Food Street,4,233,Basavanagudi,Street Food,200,Low
Mitraa Da Pizza,4,115,Kumaraswamy Layout,"Fast Food, Pizza",250,Low
Paradise Premium,3,119,Banashankari,"Biryani, Andhra, Hyderabadi, North Indian",700,Medium
Grazers,4,291,Jayanagar,"Cafe, Burger, Continental, Italian, Desserts",650,Medium
Shakes Theory,5,155,Jayanagar,"Beverages, Sandwich",300,Low
@Italy,4,305,Kumaraswamy Layout,Italian,700,Medium
Chilli Flakes,4,46,Banashankari,"Fast Food, Italian, Beverages",500,Medium
Calcutta Cafe,4,45,Kumaraswamy Layout,"Bengali, Chinese, Sandwich",350,Low
Old Mumbai Ice Cream,4,38,Banashankari,Ice Cream,150,Low
Donne Biriyani House,4,441,Banashankari,"South Indian, North Indian, Chinese, Biryani",400,Low
By 2 Coffee,4,25,Basavanagudi,South Indian,100,Low
Kedia's Fun Food,4,630,Jayanagar,"North Indian, Street Food, Juices",200,Low
Davangere Butter Dosa Hotel,4,25,Kumaraswamy Layout,South Indian,150,Low
Just Shawarma,4,160,Kumaraswamy Layout,Arabian,300,Low
Mini Punjabi Dhaba,4,287,Banashankari,North Indian,350,Low
Mulabagilu Dosa,4,11,Basavanagudi,South Indian,100,Low
CafÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â© Down The Alley,4,402,Banashankari,Cafe,500,Medium
Gokul Veg,4,469,Basavanagudi,"North Indian, Chinese, Beverages",750,Medium
Olive - Era,3,511,Kumaraswamy Layout,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550,Medium
Udupi Ruchi,4,57,Banashankari,"South Indian, North Indian, Chinese, Street Food",200,Low
Madhappa Hindu Military Hotel,3,14,Banashankari,South Indian,300,Low
Gama Gama,4,264,Banashankari,South Indian,200,Low
Pizza Hut,4,693,Banashankari,"Pizza, Fast Food",750,Medium
Cafe Coffee Day,4,19,Bannerghatta Road,"Cafe, Fast Food",900,Medium
Cafe Arabica,4,69,Bannerghatta Road,"Cafe, Bakery",700,Medium
Starbucks,4,52,Bannerghatta Road,"Cafe, Desserts",700,Medium
Smoor,4,18,Bannerghatta Road,"Desserts, Cafe, Beverages",900,Medium
Kalmane Koffees,4,78,Bannerghatta Road,Cafe,350,Low
Shee-Sha Cafe,4,39,Bannerghatta Road,"Cafe, North Indian, Chinese, Continental",800,Medium
Brews N Bites,3,48,Bannerghatta Road,"Chinese, Fast Food, Cafe, Street Food, Finger Food",650,Medium
D2V Cafe,4,13,Bannerghatta Road,Cafe,700,Medium
Cafe Talk,3,14,Bannerghatta Road,"Cafe, Continental, North Indian, Bakery, Desserts",700,Medium
Cafe Choco Craze,4,9,Bannerghatta Road,"Cafe, Fast Food, Desserts",400,Low
Slate Cafe,4,46,JP Nagar,"Cafe, Sandwich, Burger",600,Medium
Dialogues,4,129,JP Nagar,"Cafe, Continental",600,Medium
Mudpipe Cafe,4,727,JP Nagar,"Cafe, Continental, North Indian",800,Medium
TAB - Take A Break,4,521,JP Nagar,"Cafe, Continental, Italian",550,Medium
Biggies Burger 'n' More,4,203,JP Nagar,"Cafe, Burger, Beverages",650,Medium
Onesta,4,4381,JP Nagar,"Pizza, Cafe, Italian",600,Medium
Cafe Potpourri,4,131,JP Nagar,"Cafe, Sandwich, North Indian, Beverages, Desserts",400,Low
De Oxford Cafe,4,34,JP Nagar,"Cafe, Beverages, Fast Food",500,Medium
Vinaya Coffee Moments,4,46,JP Nagar,"Burger, Cafe, Desserts, Sandwich, Italian",450,Low
Brew Point,4,10,JP Nagar,"Cafe, American, Burger, Sandwich, Fast Food",500,Medium
The Cravery,3,18,JP Nagar,"Continental, Burger, Beverages, Cafe, Italian, Rolls",500,Medium
Cuppa,3,48,JP Nagar,"Cafe, Fast Food",550,Medium
Anju's Cafe,3,6,JP Nagar,"Cafe, North Indian",600,Medium
Skytouch Le Cafe,4,127,JP Nagar,"Cafe, Italian, Desserts",700,Medium
Woodee Pizza,3,85,JP Nagar,"Cafe, Pizza, Fast Food, Beverages",500,Medium
Hearts Unlock Cafe,3,11,BTM,"Cafe, Healthy Food",500,Medium
eat.fit,5,1178,BTM,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500,Medium
Sai Abhiruchi,4,335,BTM,"Andhra, North Indian, Biryani",800,Medium
Capsicum Family Restaurant,4,254,BTM,"Biryani, North Indian",800,Medium
Box Magic,4,21,Bannerghatta Road,"North Indian, South Indian, Seafood, Rolls",400,Low
Maa'r Rannaghor,4,20,JP Nagar,"Bengali, Chinese",400,Low
Easy Bites,4,63,JP Nagar,"Fast Food, Sandwich",300,Low
Hiyar Majhe Kolkata,4,244,BTM,"Bengali, North Indian",400,Low
Dabba Gosht,3,9,JP Nagar,"Arabian, Middle Eastern",400,Low
Empire Restaurant,4,113,JP Nagar,"Kerala, Seafood, South Indian, Chinese, North Indian, Charcoal Chicken, Beverages",400,Low
Punjabites,4,5,JP Nagar,"North Indian, Charcoal Chicken",400,Low
Sri Lakshmi Dhaba,3,255,BTM,North Indian,250,Low
XO Belgian Waffle,5,549,BTM,"Desserts, Beverages",400,Low
Swadista Aahar,4,775,BTM,"South Indian, North Indian, Chinese, Street Food",300,Low
Vegetarea,4,38,BTM,South Indian,250,Low
Al-Bek,4,208,JP Nagar,"Biryani, North Indian, Charcoal Chicken, Chinese, Seafood, Rolls",300,Low
Aniram's,4,739,JP Nagar,"Chinese, North Indian",500,Medium
Punjabi Nawabi,4,310,Bannerghatta Road,North Indian,400,Low
YummRajj,3,42,BTM,Fast Food,500,Medium
Swad Punjab Da,4,126,BTM,North Indian,150,Low
BOX8- Desi Meals,4,427,Bannerghatta Road,"North Indian, Mughlai, Fast Food",500,Medium
Roti Wala,4,197,BTM,North Indian,300,Low
Midnight Mania,4,601,BTM,"Pizza, Italian, Beverages",700,Medium
Kitchens@JP Nagar,4,488,JP Nagar,"Biryani, Kerala, Mughlai, Street Food, North Indian, Chinese, South Indian, Andhra",400,Low
Krishna Kuteera,4,396,Bannerghatta Road,"South Indian, North Indian, Chinese",400,Low
Apna Punjab,4,474,BTM,"North Indian, Chinese, Fast Food",450,Low
Paratha Junction,3,172,BTM,"North Indian, Chinese",300,Low
Nellore Bhojanam,3,175,Bannerghatta Road,Andhra,250,Low
Momoz,4,939,BTM,"Chinese, Momos",600,Medium
Kalingas,4,173,BTM,"Oriya, Fast Food",250,Low
Kanteen The Eatery,4,77,Bannerghatta Road,North Indian,400,Low
Kullad Cafe,4,326,BTM,"North Indian, Cafe, Fast Food, Beverages",200,Low
Donne Biriyani House,3,212,JP Nagar,"Biryani, Andhra",350,Low
Litti Twist,4,464,BTM,"North Indian, Bihari",300,Low
FreshMenu,3,628,Bannerghatta Road,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,Low
Shanthi Sagar,4,518,JP Nagar,"South Indian, North Indian, Chinese",400,Low
Cakebuy,4,70,Bannerghatta Road,Desserts,350,Low
Five Star Chicken,4,62,JP Nagar,"Burger, Fast Food, Roast Chicken, Finger Food",300,Low
Corner House Ice Cream,4,819,Jayanagar,"Ice Cream, Desserts",400,Low
Delight Food,3,171,BTM,"Andhra, Chinese, Biryani",450,Low
Andhra Kitchen,4,158,Bannerghatta Road,"Andhra, Biryani",400,Low
Veg By Nature,3,14,JP Nagar,North Indian,200,Low
Fattoush,4,1964,Bannerghatta Road,"Arabian, Biryani, Chinese, Middle Eastern, Fast Food, North Indian, Mughlai, Seafood",1000,Medium
Chicken Magic,4,207,BTM,"Chinese, North Indian",300,Low
Behrouz Biryani,4,138,Bannerghatta Road,Biryani,650,Medium
Abhiruchi Hotel,3,455,Bannerghatta Road,"Andhra, Biryani, North Indian, Chinese",550,Medium
Swathi Restaurant,4,14,JP Nagar,"Andhra, North Indian, Chinese",400,Low
Fresh Kitchen,3,13,Bannerghatta Road,"North Indian, Chinese",600,Medium
Hind Ka Chulah,4,181,Bannerghatta Road,"North Indian, Biryani",600,Medium
Kuttanad,4,140,Bannerghatta Road,"Kerala, South Indian",200,Low
New Mahesh Friends Food Corner,3,44,BTM,"North Indian, Chinese",300,Low
Bohra Bohra CafÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â©,4,43,JP Nagar,Bohri,300,Low
Pizza Hut,3,159,JP Nagar,Pizza,750,Medium
Shree Krishna Sannidhi,3,76,Bannerghatta Road,"North Indian, Chinese",450,Low
BingeJoy!,4,16,JP Nagar,"Biryani, Chinese, Fast Food",100,Low
Shiv Sai Hotel,4,74,Bannerghatta Road,North Indian,400,Low
MRA,4,20,BTM,Bakery,200,Low
Beijing Bites,4,9,JP Nagar,"Chinese, Thai, Momos",400,Low
A2B - Adyar Ananda Bhavan,4,51,JP Nagar,"South Indian, North Indian, Chinese, Street Food",200,Low
Burj Hotel,4,53,Bannerghatta Road,"North Indian, Chinese",350,Low
Shaadi Ki Biryani,3,28,BTM,"Biryani, North Indian, Mughlai",400,Low
Subway,3,166,Bannerghatta Road,"Salad, Fast Food",600,Medium
Madeena Hotel,4,50,Bannerghatta Road,"North Indian, Mughlai, Biryani",400,Low
Biryani Durbar,4,128,Bannerghatta Road,"Biryani, North Indian",400,Low
The Good Bowl,4,8,Bannerghatta Road,"Italian, North Indian, Biryani",500,Medium
Mahesh Friends Food Center,3,126,BTM,"Chinese, North Indian",300,Low
Juice Shop,3,24,JP Nagar,"Juices, Beverages, Ice Cream",150,Low
Kabab Magic,4,952,Jayanagar,"North Indian, Kebab, Chinese, Fast Food",400,Low
Nammura Donne Biriyani,3,51,Kanakapura Road,"Biryani, Fast Food",400,Low
Burger King,4,472,Bannerghatta Road,"Burger, Fast Food, Beverages",600,Medium
Dadi's Dum Biryani,4,739,Bannerghatta Road,"Biryani, North Indian, Mughlai",800,Medium
Krishna Kuteera South,4,117,Bannerghatta Road,"South Indian, North Indian, Chinese",500,Medium
Alankrutha,4,255,BTM,"Andhra, Biryani, North Indian, Chinese",500,Medium
Paradise,4,1974,JP Nagar,"Biryani, North Indian, Kebab",800,Medium
Kabab Mehal,4,65,JP Nagar,"Kebab, North Indian, Fast Food, Beverages",400,Low
Mughlai Kitchen,4,269,BTM,"Mughlai, North Indian, Chinese, Momos",600,Medium
Andhra Ruchulu,4,1428,JP Nagar,"Andhra, North Indian",800,Medium
Sri Punjabi Dhaba,3,39,BTM,North Indian,400,Low
Arabian Mexico,3,43,Bannerghatta Road,"Fast Food, Arabian",400,Low
CakeZone,4,13,JP Nagar,"Bakery, Desserts",200,Low
Fujian Express,4,34,JP Nagar,"Chinese, Thai",200,Low
Indian Food,3,345,BTM,"North Indian, Biryani, Chinese, Momos",450,Low
Tandoori Paradise,4,8,BTM,"North Indian, Chinese",600,Medium
Kolkata Kathi Rolls,4,23,JP Nagar,Rolls,150,Low
Adithya,4,332,JP Nagar,"South Indian, North Indian, Chinese",300,Low
Cheesiano Pizza,4,199,JP Nagar,"Pizza, Italian",700,Medium
Polar Bear,4,20,BTM,"Desserts, Ice Cream",300,Low
Nati Palace,4,11,JP Nagar,"South Indian, North Indian",200,Low
KFC,4,437,JP Nagar,"Burger, Fast Food",400,Low
Dande's Hyderabad Biryani,4,207,Bannerghatta Road,"Biryani, Andhra, North Indian",700,Medium
Upahara Bhavan,4,55,Bannerghatta Road,"South Indian, North Indian, Chinese",300,Low
Sher-E-Punjab,3,19,BTM,"North Indian, Chinese",400,Low
Shuddh Desi Khana,4,597,Bannerghatta Road,North Indian,400,Low
Karama Restaurant,4,16,JP Nagar,Arabian,400,Low
Jaganath Hotel and Restaurant,4,35,JP Nagar,"North Indian, Chinese",200,Low
Five Star Chicken,4,9,Bannerghatta Road,"Fast Food, Beverages",250,Low
Sankranthi Veg Restaurant,3,102,BTM,"South Indian, North Indian, Chinese",600,Medium
Aramane Donne Biriyani,4,189,BTM,"Biryani, Fast Food",300,Low
Mani's Dum Biryani,4,373,JP Nagar,"Biryani, Kebab",750,Medium
Amontron,4,435,BTM,Bengali,650,Medium
A M Biryani Hotel,3,6,Bannerghatta Road,"North Indian, Chinese, Biryani, Fast Food",300,Low
Birinz,4,292,BTM,"Biryani, Chinese, Mughlai, Fast Food, Kebab",700,Medium
Just Shawarma,4,137,Bannerghatta Road,Arabian,300,Low
Hyderabadi Bawarchi,3,133,Bannerghatta Road,"North Indian, Chinese, Biryani",500,Medium
Fish Chain,4,37,JP Nagar,"Seafood, BBQ, Biryani",250,Low
Prasiddhi Food Corner,4,170,JP Nagar,"Fast Food, North Indian, South Indian",200,Low
Biriyani Bhatti,4,21,BTM,"Chinese, Hyderabadi, North Indian",400,Low
Hyderabad Biryaani House,4,794,Bannerghatta Road,"Biryani, North Indian, Chinese",550,Medium
Galito's,5,404,Bannerghatta Road,"African, Burger",1000,Medium
C. K. Mega Hot Food,4,100,BTM,"Chinese, Momos",600,Medium
Lassi Shop,4,38,JP Nagar,"Beverages, Ice Cream, Fast Food",300,Low
Red Chilli Restaurant,3,93,Bannerghatta Road,"North Indian, Chinese",350,Low
RSS Donne Biryani,3,58,BTM,Biryani,300,Low
Rajdhani Thali Restaurant,4,561,Bannerghatta Road,North Indian,900,Medium
PHEW (Play Hard Eat Wild),4,486,BTM,"Continental, Lebanese, Middle Eastern, North Indian, Chinese, BBQ, Cafe",700,Medium
New Kabab Zone,4,102,Bannerghatta Road,"North Indian, Chinese, Biryani, Rolls",500,Medium
Bawarchi Paradise,4,89,Bannerghatta Road,"North Indian, Biryani",500,Medium
Shree Udupi Grand,4,17,Kanakapura Road,"South Indian, Chinese, North Indian",450,Low
Chicken County Grand,4,320,Bannerghatta Road,"North Indian, Chinese",650,Medium
Roll Over,4,237,JP Nagar,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500,Medium
Darjeeling Momos & Fast Food Center,4,37,Bannerghatta Road,"Fast Food, Momos",250,Low
Veruthe Oru Thattukada,4,27,BTM,"Kerala, South Indian",400,Low
Savoury - Sea Shell Restaurant,4,1227,Bannerghatta Road,"Arabian, North Indian, Chinese, Seafood, Biryani, Rolls, Beverages",900,Medium
Warm Oven,4,32,BTM,"Bakery, Desserts",500,Medium
Firangi Bake,4,95,Bannerghatta Road,"Mexican, Italian",600,Medium
Zaitoon,4,1538,JP Nagar,"BBQ, Arabian, Chinese, North Indian, Desserts",1000,Medium
Kundana,4,110,Bannerghatta Road,"Andhra, Biryani",800,Medium
Food Ka Masti,3,45,Bannerghatta Road,"North Indian, Chinese, South Indian",400,Low
The Shawarma Shop,4,381,BTM,Arabian,250,Low
Momo Junction,4,87,Bannerghatta Road,"Fast Food, Momos",100,Low
Antilla Aromas,4,18,Bannerghatta Road,"Desserts, Ice Cream",300,Low
Faasos,4,251,Bannerghatta Road,"North Indian, Biryani, Fast Food",500,Medium
Punjabi Food Corner,3,353,JP Nagar,"North Indian, Chinese, Street Food",400,Low
Mealer.in,4,205,JP Nagar,"North Indian, Biryani",450,Low
Pathaan Sir,4,183,BTM,"Fast Food, Rolls, Momos",250,Low
Cold Stone Creamery,4,99,Bannerghatta Road,"Ice Cream, Desserts",400,Low
Hari Super Sandwich,4,13,BTM,"Sandwich, Fast Food",100,Low
Amritsari Kulcha Land,4,260,JP Nagar,North Indian,300,Low
Chokha Chowka,4,355,BTM,"North Indian, Chinese",400,Low
Gorbandh,4,83,BTM,"Fast Food, North Indian",400,Low
Grills & Rolls,3,321,JP Nagar,"North Indian, Chinese, Fast Food, Rolls, Juices",400,Low
Bathinda Junction,4,362,BTM,North Indian,600,Medium
Stories,4,2166,JP Nagar,"American, Chinese, Continental, North Indian",1200,High
New Gongura's,4,43,BTM,"Andhra, Biryani, North Indian, Chinese",550,Medium
Sagar Grand,4,30,Bannerghatta Road,"South Indian, North Indian, Chinese",300,Low
Kanti Sweets,4,182,JP Nagar,"Mithai, Street Food",400,Low
UBQ By Barbeque Nation,3,9,JP Nagar,"North Indian, BBQ, Biryani, Kebab",450,Low
Agarwal Food Service,4,265,Bannerghatta Road,"North Indian, Chinese, Biryani",400,Low
Daniyal's,3,41,BTM,"North Indian, Biryani, Mughlai, Kebab",800,Medium
Seasons,4,500,Bannerghatta Road,"North Indian, South Indian, Chinese, Seafood, Kerala, Arabian, Juices",1000,Medium
Chef Delicacies,3,7,JP Nagar,"Kebab, Rolls, Charcoal Chicken",400,Low
